key,tipo,id,produto,reg,ano,quantidade
15-27,DERIVADOS,27,Mosto dessulfitado,ANALITICO,1974,0
15-28,DERIVADOS,28,Mistelas,ANALITICO,1974,826300
15-29,DERIVADOS,29,Néctar de uva,ANALITICO,1974,0
15-30,DERIVADOS,30,Licorosos,ANALITICO,1974,135000
15-31,DERIVADOS,31,Compostos,ANALITICO,1974,0
15-32,DERIVADOS,32,Jeropiga,ANALITICO,1974,0
15-33,DERIVADOS,33,Filtrado,ANALITICO,1974,0
15-34,DERIVADOS,34,Frisante,ANALITICO,1974,0
15-35,DERIVADOS,35,Vinho leve,ANALITICO,1974,0
15-36,DERIVADOS,36,Vinho licoroso,ANALITICO,1974,0
15-37,DERIVADOS,37,Brandy,ANALITICO,1974,0
15-38,DERIVADOS,38,Destilado,ANALITICO,1974,0
15-39,DERIVADOS,39,Bagaceira,ANALITICO,1974,424620
15-40,DERIVADOS,40,Licor de bagaceira,ANALITICO,1974,0
15-41,DERIVADOS,41,Vinagre,ANALITICO,1974,35300
15-42,DERIVADOS,42,Borra líquida,ANALITICO,1974,5136979
15-43,DERIVADOS,43,Borra seca,ANALITICO,1974,0
15-44,DERIVADOS,44,Vinho Composto,ANALITICO,1974,0
15-45,DERIVADOS,45,Pisco,ANALITICO,1974,0
15-46,DERIVADOS,46,Vinho orgânico,ANALITICO,1974,0
15-47,DERIVADOS,47,Espumante orgânico,ANALITICO,1974,0
15-48,DERIVADOS,48,Destilado alcoólico simples de bagaceira ,ANALITICO,1974,0
15-49,DERIVADOS,49,Vinho acidificado ,ANALITICO,1974,0
15-50,DERIVADOS,50,Mosto parcialmente fermentado ,ANALITICO,1974,0
15-51,DERIVADOS,51,Outros derivados,ANALITICO,1974,0
1-1,VINHO DE MESA,1,VINHO DE MESA,SINTETICO,1975,177401209
1-2,VINHO DE MESA,2,Tinto,ANALITICO,1975,144274134
1-3,VINHO DE MESA,3,Branco,ANALITICO,1975,1441507
1-4,VINHO DE MESA,4,Rosado,ANALITICO,1975,31685568
5-5,VINHO FINO DE MESA (VINÍFERA),5,VINHO FINO DE MESA (VINÍFERA),SINTETICO,1975,39424590
5-6,VINHO FINO DE MESA (VINÍFERA),6,Tinto,ANALITICO,1975,14731106
5-7,VINHO FINO DE MESA (VINÍFERA),7,Branco,ANALITICO,1975,21933695
5-8,VINHO FINO DE MESA (VINÍFERA),8,Rosado,ANALITICO,1975,2759789
9-9,SUCO,9,SUCO,SINTETICO,1975,0
9-10,SUCO,10,Suco de uva integral,ANALITICO,1975,0
9-11,SUCO,11,Suco de uva concentrado,ANALITICO,1975,0
9-12,SUCO,12,Suco de uva adoçado,ANALITICO,1975,0
9-13,SUCO,13,Suco de uva orgânico,ANALITICO,1975,0
9-14,SUCO,14,Suco de uva reconstituído,ANALITICO,1975,0
15-15,DERIVADOS,15,DERIVADOS,SINTETICO,1975,53633143
15-16,DERIVADOS,16,Espumante,ANALITICO,1975,0
15-17,DERIVADOS,17,Espumante moscatel,ANALITICO,1975,0
15-18,DERIVADOS,18,Base espumante,ANALITICO,1975,0
15-19,DERIVADOS,19,Base espumante moscatel,ANALITICO,1975,0
15-20,DERIVADOS,20,Base Champenoise champanha,ANALITICO,1975,0
15-21,DERIVADOS,21,Base Charmat champanha,ANALITICO,1975,0
15-22,DERIVADOS,22,Bebida de uva,ANALITICO,1975,0
15-23,DERIVADOS,23,Polpa de uva,ANALITICO,1975,0
15-24,DERIVADOS,24,Mosto simples,ANALITICO,1975,48185206
15-25,DERIVADOS,25,Mosto concentrado,ANALITICO,1975,0
15-26,DERIVADOS,26,Mosto de uva com bagaço,ANALITICO,1975,0
15-27,DERIVADOS,27,Mosto dessulfitado,ANALITICO,1975,0
15-28,DERIVADOS,28,Mistelas,ANALITICO,1975,223000
15-29,DERIVADOS,29,Néctar de uva,ANALITICO,1975,0
15-30,DERIVADOS,30,Licorosos,ANALITICO,1975,24000
15-31,DERIVADOS,31,Compostos,ANALITICO,1975,0
15-32,DERIVADOS,32,Jeropiga,ANALITICO,1975,0
15-33,DERIVADOS,33,Filtrado,ANALITICO,1975,0
15-34,DERIVADOS,34,Frisante,ANALITICO,1975,0
15-35,DERIVADOS,35,Vinho leve,ANALITICO,1975,0
15-36,DERIVADOS,36,Vinho licoroso,ANALITICO,1975,0
15-37,DERIVADOS,37,Brandy,ANALITICO,1975,0
15-38,DERIVADOS,38,Destilado,ANALITICO,1975,0
15-39,DERIVADOS,39,Bagaceira,ANALITICO,1975,576098
15-40,DERIVADOS,40,Licor de bagaceira,ANALITICO,1975,0
15-41,DERIVADOS,41,Vinagre,ANALITICO,1975,0
15-42,DERIVADOS,42,Borra líquida,ANALITICO,1975,4624839
15-43,DERIVADOS,43,Borra seca,ANALITICO,1975,0
15-44,DERIVADOS,44,Vinho Composto,ANALITICO,1975,0
15-45,DERIVADOS,45,Pisco,ANALITICO,1975,0
15-46,DERIVADOS,46,Vinho orgânico,ANALITICO,1975,0
15-47,DERIVADOS,47,Espumante orgânico,ANALITICO,1975,0
15-48,DERIVADOS,48,Destilado alcoólico simples de bagaceira ,ANALITICO,1975,0
15-49,DERIVADOS,49,Vinho acidificado ,ANALITICO,1975,0
15-50,DERIVADOS,50,Mosto parcialmente fermentado ,ANALITICO,1975,0
15-51,DERIVADOS,51,Outros derivados,ANALITICO,1975,0
1-1,VINHO DE MESA,1,VINHO DE MESA,SINTETICO,1976,144565438
1-2,VINHO DE MESA,2,Tinto,ANALITICO,1976,118360170
1-3,VINHO DE MESA,3,Branco,ANALITICO,1976,1871473
1-4,VINHO DE MESA,4,Rosado,ANALITICO,1976,24333795
5-5,VINHO FINO DE MESA (VINÍFERA),5,VINHO FINO DE MESA (VINÍFERA),SINTETICO,1976,34500590
5-6,VINHO FINO DE MESA (VINÍFERA),6,Tinto,ANALITICO,1976,12405154
5-7,VINHO FINO DE MESA (VINÍFERA),7,Branco,ANALITICO,1976,19874659
5-8,VINHO FINO DE MESA (VINÍFERA),8,Rosado,ANALITICO,1976,2220777
9-9,SUCO,9,SUCO,SINTETICO,1976,0
9-10,SUCO,10,Suco de uva integral,ANALITICO,1976,0
9-11,SUCO,11,Suco de uva concentrado,ANALITICO,1976,0
9-12,SUCO,12,Suco de uva adoçado,ANALITICO,1976,0
9-13,SUCO,13,Suco de uva orgânico,ANALITICO,1976,0
9-14,SUCO,14,Suco de uva reconstituído,ANALITICO,1976,0
15-15,DERIVADOS,15,DERIVADOS,SINTETICO,1976,22925012
15-16,DERIVADOS,16,Espumante,ANALITICO,1976,0
15-17,DERIVADOS,17,Espumante moscatel,ANALITICO,1976,0
15-18,DERIVADOS,18,Base espumante,ANALITICO,1976,0
15-19,DERIVADOS,19,Base espumante moscatel,ANALITICO,1976,0
15-20,DERIVADOS,20,Base Champenoise champanha,ANALITICO,1976,0
15-21,DERIVADOS,21,Base Charmat champanha,ANALITICO,1976,0
15-22,DERIVADOS,22,Bebida de uva,ANALITICO,1976,0
15-23,DERIVADOS,23,Polpa de uva,ANALITICO,1976,0
15-24,DERIVADOS,24,Mosto simples,ANALITICO,1976,18220527
15-25,DERIVADOS,25,Mosto concentrado,ANALITICO,1976,0
15-26,DERIVADOS,26,Mosto de uva com bagaço,ANALITICO,1976,0
15-27,DERIVADOS,27,Mosto dessulfitado,ANALITICO,1976,0
15-28,DERIVADOS,28,Mistelas,ANALITICO,1976,205500
15-29,DERIVADOS,29,Néctar de uva,ANALITICO,1976,0
15-30,DERIVADOS,30,Licorosos,ANALITICO,1976,4400
15-31,DERIVADOS,31,Compostos,ANALITICO,1976,0
15-32,DERIVADOS,32,Jeropiga,ANALITICO,1976,107500
15-33,DERIVADOS,33,Filtrado,ANALITICO,1976,0
15-34,DERIVADOS,34,Frisante,ANALITICO,1976,0
15-35,DERIVADOS,35,Vinho leve,ANALITICO,1976,0
15-36,DERIVADOS,36,Vinho licoroso,ANALITICO,1976,0
15-37,DERIVADOS,37,Brandy,ANALITICO,1976,0
15-38,DERIVADOS,38,Destilado,ANALITICO,1976,0
15-39,DERIVADOS,39,Bagaceira,ANALITICO,1976,705912
15-40,DERIVADOS,40,Licor de bagaceira,ANALITICO,1976,0
15-41,DERIVADOS,41,Vinagre,ANALITICO,1976,288000
15-42,DERIVADOS,42,Borra líquida,ANALITICO,1976,3393173
15-43,DERIVADOS,43,Borra seca,ANALITICO,1976,0
15-44,DERIVADOS,44,Vinho Composto,ANALITICO,1976,0
15-45,DERIVADOS,45,Pisco,ANALITICO,1976,0
15-46,DERIVADOS,46,Vinho orgânico,ANALITICO,1976,0
15-47,DERIVADOS,47,Espumante orgânico,ANALITICO,1976,0
15-48,DERIVADOS,48,Destilado alcoólico simples de bagaceira ,ANALITICO,1976,0
15-49,DERIVADOS,49,Vinho acidificado ,ANALITICO,1976,0
15-50,DERIVADOS,50,Mosto parcialmente fermentado ,ANALITICO,1976,0
15-51,DERIVADOS,51,Outros derivados,ANALITICO,1976,0
1-1,VINHO DE MESA,1,VINHO DE MESA,SINTETICO,1977,195359778
1-2,VINHO DE MESA,2,Tinto,ANALITICO,1977,154801826
1-3,VINHO DE MESA,3,Branco,ANALITICO,1977,4954387
1-4,VINHO DE MESA,4,Rosado,ANALITICO,1977,35603565
5-5,VINHO FINO DE MESA (VINÍFERA),5,VINHO FINO DE MESA (VINÍFERA),SINTETICO,1977,41264971
5-6,VINHO FINO DE MESA (VINÍFERA),6,Tinto,ANALITICO,1977,16131758
5-7,VINHO FINO DE MESA (VINÍFERA),7,Branco,ANALITICO,1977,20409231
5-8,VINHO FINO DE MESA (VINÍFERA),8,Rosado,ANALITICO,1977,4723982
9-9,SUCO,9,SUCO,SINTETICO,1977,0
9-10,SUCO,10,Suco de uva integral,ANALITICO,1977,0
9-11,SUCO,11,Suco de uva concentrado,ANALITICO,1977,0
9-12,SUCO,12,Suco de uva adoçado,ANALITICO,1977,0
9-13,SUCO,13,Suco de uva orgânico,ANALITICO,1977,0
9-14,SUCO,14,Suco de uva reconstituído,ANALITICO,1977,0
15-15,DERIVADOS,15,DERIVADOS,SINTETICO,1977,24015856
15-16,DERIVADOS,16,Espumante,ANALITICO,1977,0
15-17,DERIVADOS,17,Espumante moscatel,ANALITICO,1977,0
15-18,DERIVADOS,18,Base espumante,ANALITICO,1977,0
15-19,DERIVADOS,19,Base espumante moscatel,ANALITICO,1977,0
15-20,DERIVADOS,20,Base Champenoise champanha,ANALITICO,1977,0
15-21,DERIVADOS,21,Base Charmat champanha,ANALITICO,1977,0
15-22,DERIVADOS,22,Bebida de uva,ANALITICO,1977,0
15-23,DERIVADOS,23,Polpa de uva,ANALITICO,1977,0
15-24,DERIVADOS,24,Mosto simples,ANALITICO,1977,22097156
